Medipol Basaksehir FK,Turkey
Melbourne City FC,Australia
Melbourne Victory,Australia
Mexico,National Teams
Middlesbrough,England
Miedz Legnica,Poland
Milan,Italy
Millonarios FC,South America
Millwall,England
Minnesota United FC,USA/Canada 
Molde FK,Norway
Monarcas Morelia,Mexico
Monterrey,Mexico
Montpellier HSC,France
Montreal Impact,USA/Canada 
Moreirense FC,Portugal
Motherwell,Scotland
NAC Breda,Netherlands
Napoli,Italy
Neuchatel Xamax,Switzerland
New England Revolution,USA/Canada 
New York City FC,USA/Canada 
New York Red Bulls,USA/Canada 
Newcastle Jets,Australia
Newcastle United,England
Newell's Old Boys,Argentina
Nimes Olympique,France
Norwich City,England
Nottingham Forest,England
OGC Nice,France
Odense Boldklub,Denmark
Ohod Club,Saudi Arabia 
Olympiacos CFP,Other countries
Olympique Lyonnais,France
Olympique de Marseille,France
Once Caldas,South America
Orlando City SC,USA/Canada 
Orlando Pirates,Other countries
PAOK,Other countries
PEC Zwolle,Netherlands
PFC CSKA Moscow,Russia
PSV,Netherlands
Pachuca,Mexico
Padova,Italy
Palermo,Italy
Panathinaikos FC,Other countries
Paraguay,National Teams
Paris Saint-Germain,France
Parma,Other countries
Patronato,Argentina
Peru,National Teams
Perugia,Italy
Pescara,Italy
Philadelphia Union,USA/Canada 
Poland,National Teams
Portimonense SC,Portugal
Portland Timbers,USA/Canada 
Preston North End,England
Puebla FC,Mexico
Queens Park Rangers,England
Queretaro,Mexico
RB Leipzig,Germany
RC Celta,Spain
RC Strasbourg Alsace,France
RCD Espanyol,Spain
RCD Mallorca,Spain
RSC Anderlecht,Belgium
Racing Club,Argentina
Racing Club de Lens,France
Rangers FC,Scotland
Rayo Vallecano,Spain
Reading,England
Real Betis,Spain
Real Madrid,Spain
Real Oviedo,Spain
Real Salt Lake,USA/Canada 
Real Sociedad,Spain
Real Sporting de Gijon,Spain
Real Valladolid CF,National Teams
Real Zaragoza,Spain
River Plate,Argentina
Roma,Italy
Romania,National Teams
Rosario Central,Argentina
Rosenborg BK,Norway
Rotherham United,England
Royal Antwerp FC,Belgium
Royal Excel Mouscron,Belgium
Russia,National Teams
SC Freiburg,Germany
SC Heerenveen,Netherlands
SC Paderborn 07,Germany
SD Eibar,Spain
SD Huesca,Spain
SK Brann,Norway
SK Rapid Wien,Austria
SK Slavia Praha,Other countries
SK Sturm Graz,Austria
SL Benfica,Portugal
SPAL,Italy
SV Darmstadt 98,Germany
SV Sandhausen,Germany
SV Werder Bremen,Germany
SV Zulte-Waregem,Belgium
Sagan Tosu,Japan
Sampdoria,Italy
San Jose Earthquakes,USA/Canada 
San Lorenzo de Almagro,Argentina
San Martin de San Juan,Argentina
San Martin de Tucuman,Argentina
Sanfrecce Hiroshima,Japan
Santos Laguna,Mexico
Sassuolo,Italy
Seattle Sounders FC,USA/Canada 
Sevilla FC,Spain
Shakhtar Donetsk,Other countries
Shanghai Greenland Shenhua FC,China
Shanghai SIPG FC,China
Sheffield United,England
Sheffield Wednesday,England
Sint-Truidense VV,Belgium
Sivasspor,Turkey
Slovenia,National Teams
South Africa,National Teams
Southampton,England
Sparta Praha,Other countries
Spartak Moscow,Russia
Spezia,Italy
Sporting CP,Portugal
Sporting Kansas City,USA/Canada 
Sporting de Charleroi,Belgium
Stade Brestois 29,France
Stade Malherbe Caen,France
Stade Rennais FC,France
Stade de Reims,France
Standard de Liege,Belgium
Stoke City,England
Sunderland,England
Suwon Samsung Bluewings,South Korea
Swansea City,England
Sweden,National Teams
Switzerland,National Teams
Sydney FC,Australia
TSG 1899 Hoffenheim,Germany
Tianjin TEDA FC,China
Tiburones Rojos de Veracruz,Mexico
Tigres U.A.N.L.,Mexico
Torino,Italy
Toronto FC,USA/Canada 
Tottenham Hotspur,England
Toulouse Football Club,France
Trabzonspor,Turkey
U.N.A.M.,Mexico
UD Las Palmas,Spain
US Cremonese,Italy
US Salernitana 1919,Italy
Udinese,Italy
Union de Santa Fe,South America
Universidad Catolica,South America
Universidad de Chile,South America
Urawa Red Diamonds,Japan
Uruguay,National Teams
VVV-Venlo,Netherlands
Valencia CF,Spain
Vancouver Whitecaps FC,USA/Canada 
Velez Sarsfield,Argentina
Venezia FC,Italy
Venezuela,National Teams
VfB Stuttgart,Germany
VfL Bochum 1848,Germany
VfL Wolfsburg,Germany
Viktoria Plzen,Other countries
Villarreal CF,Spain
Vissel Kobe,Japan
Vitesse,Netherlands
Vitoria Guimaraes,Portugal
Vitoria de Setubal,Portugal
Waasland-Beveren,Belgium
Wales,National Teams
Watford,England
Wellington Phoenix,Australia
West Bromwich Albion,England
West Ham United,England
Western Sydney Wanderers,Australia
Wigan Athletic,England
Willem II,Netherlands
Wisla Krakow,Poland
Wolverhampton Wanderers,England
Yeni Malatyaspor,Turkey
caykur Rizespor,Turkey
ostersunds FK,Sweden
